epoch,step,train_acc,train_loss,val_acc,val_loss
0,1025,,,0.8726542592048645,0.27801334857940674
0,1025,0.8627402186393738,0.29825881123542786,,
1,2051,,,0.8770700097084045,0.2712824046611786
1,2051,0.8746045231819153,0.27487608790397644,,
2,3077,,,0.879095733165741,0.2673978805541992
2,3077,0.8781425952911377,0.26929688453674316,,
3,4103,,,0.8801107406616211,0.26542970538139343
3,4103,0.8797890543937683,0.2661969065666199,,
4,5129,,,0.8808121681213379,0.26439332962036133
4,5129,0.8808976411819458,0.26417285203933716,,
5,6155,,,0.8810064196586609,0.2638222873210907
5,6155,0.881736695766449,0.2625370919704437,,
6,7181,,,0.882192850112915,0.26186132431030273
6,7181,0.8823540210723877,0.2613334655761719,,
7,8207,,,0.8823156952857971,0.2611585855484009
7,8207,0.882760226726532,0.2603626847267151,,
8,9233,,,0.8826642632484436,0.2605956494808197
8,9233,0.8832640647888184,0.25955930352211,,
9,10259,,,0.8827428817749023,0.2606111168861389
9,10259,0.8836883306503296,0.2588523328304291,,
10,11285,,,0.8829014301300049,0.2602538466453552
10,11285,0.8840590715408325,0.25823140144348145,,
11,12311,,,0.8833907246589661,0.2597510814666748
11,12311,0.8843387961387634,0.257704496383667,,
12,13337,,,0.8831114172935486,0.25995197892189026
12,13337,0.884740948677063,0.25717103481292725,,
13,14363,,,0.8834850192070007,0.2593773305416107
13,14363,0.8848804831504822,0.2567545175552368,,
14,15389,,,0.8829614520072937,0.2604508399963379
14,15389,0.8851180672645569,0.25630250573158264,,
15,16415,,,0.8836299777030945,0.25899025797843933
15,16415,0.8852797746658325,0.255928099155426,,
16,17441,,,0.8838428854942322,0.2589133083820343
16,17441,0.8854323625564575,0.25567227602005005,,
17,18467,,,0.8839457035064697,0.2586754560470581
17,18467,0.8856800198554993,0.2552337646484375,,
18,19493,,,0.8838642835617065,0.2586944103240967
18,19493,0.8858652114868164,0.2549421489238739,,
19,20519,,,0.8838250041007996,0.25865137577056885
19,20519,0.886049747467041,0.2545921802520752,,
20,21545,,,0.883899986743927,0.2587488293647766
20,21545,0.886202871799469,0.25427737832069397,,
21,22571,,,0.8839600086212158,0.25845542550086975
21,22571,0.8862378597259521,0.2541147470474243,,
22,23597,,,0.8840849995613098,0.25854721665382385
22,23597,0.8864569067955017,0.2538083791732788,,
23,24623,,,0.8839535713195801,0.25854864716529846
23,24623,0.8866118788719177,0.25342822074890137,,
24,25649,,,0.8842592835426331,0.25856509804725647
24,25649,0.8866907358169556,0.25328633189201355,,
25,26675,,,0.8842285871505737,0.2582657039165497
25,26675,0.887002170085907,0.25288817286491394,,
26,27701,,,0.8842814564704895,0.2582107484340668
26,27701,0.8870366811752319,0.2526760995388031,,
27,28727,,,0.8842714428901672,0.2580309808254242
27,28727,0.8871492743492126,0.25238367915153503,,
28,29753,,,0.8842728734016418,0.257857084274292
28,29753,0.8873538374900818,0.25214046239852905,,
29,30779,,,0.8842164278030396,0.2581484019756317
29,30779,0.8875333070755005,0.2518802583217621,,
30,31805,,,0.88425213098526,0.25831007957458496
30,31805,0.8876928687095642,0.251596063375473,,
31,32831,,,0.8845463991165161,0.2577114403247833
31,32831,0.8877885937690735,0.2514253258705139,,
32,33857,,,0.8845271468162537,0.2575646638870239
32,33857,0.8879042863845825,0.2512432932853699,,
33,34883,,,0.8842785954475403,0.2579745650291443
33,34883,0.8879852294921875,0.25101810693740845,,
34,35909,,,0.8842542767524719,0.2580574154853821
34,35909,0.8880509734153748,0.25080183148384094,,
35,36935,,,0.8846657276153564,0.2574463486671448
35,36935,0.8881383538246155,0.25065290927886963,,
36,37961,,,0.8844614028930664,0.2576921284198761
36,37961,0.8882283568382263,0.25046151876449585,,
37,38987,,,0.8841800093650818,0.2581559419631958
37,38987,0.8882949948310852,0.2503364682197571,,
38,40013,,,0.8846028447151184,0.2575957477092743
38,40013,0.8884285688400269,0.25014954805374146,,
39,41039,,,0.8847107291221619,0.257508248090744
39,41039,0.8885223865509033,0.25000959634780884,,
40,42065,,,0.8843292593955994,0.2578756511211395
40,42065,0.8886616826057434,0.24982842803001404,,
